profile	version	domain	target_rank	lineage	count
curated	1.0.0	Bacteria	phylum	Pseudomonadota	112577
curated	1.0.0	Bacteria	phylum	Bacillota	105912
curated	1.0.0	Bacteria	phylum	Bacteroidota	42902
curated	1.0.0	Bacteria	phylum	Actinomycetota	36964
curated	1.0.0	Bacteria	phylum	Acidobacteriota	11556
curated	1.0.0	Bacteria	phylum	Chloroflexota	9052
curated	1.0.0	Bacteria	phylum	Planctomycetota	8665
curated	1.0.0	Bacteria	phylum	Cyanobacteriota	8135
curated	1.0.0	Bacteria	phylum	Thermodesulfobacteriota	7860
curated	1.0.0	Bacteria	phylum	Verrucomicrobiota	6128
curated	1.0.0	Bacteria	phylum	Patescibacteria	4539
curated	1.0.0	Bacteria	phylum	Campylobacterota	4034
curated	1.0.0	Bacteria	phylum	Spirochaetota	4020
curated	1.0.0	Bacteria	phylum	Myxococcota	3018
curated	1.0.0	Bacteria	phylum	Gemmatimonadota	2119
curated	1.0.0	Bacteria	phylum	Rhodothermota	1751
curated	1.0.0	Bacteria	phylum	Fusobacteriota	1749
curated	1.0.0	Bacteria	phylum	Bdellovibrionota	1664
curated	1.0.0	Bacteria	phylum	Nitrospirota	1248
curated	1.0.0	Bacteria	phylum	Synergistota	933
curated	1.0.0	Bacteria	phylum	Deinococcota	842
curated	1.0.0	Bacteria	phylum	Armatimonadota	776
curated	1.0.0	Bacteria	phylum	Fibrobacterota	743
curated	1.0.0	Bacteria	phylum	Marinimicrobia (SAR406 clade)	664
curated	1.0.0	Bacteria	phylum	SAR324 clade(Marine group B)	629
curated	1.0.0	Bacteria	phylum	Dependentiae	583
curated	1.0.0	Bacteria	phylum	Latescibacterota	505
curated	1.0.0	Bacteria	phylum	NB1-j	484
curated	1.0.0	Bacteria	phylum	Elusimicrobiota	418
curated	1.0.0	Bacteria	phylum	Chlamydiota	411
curated	1.0.0	Bacteria	phylum	Sumerlaeota	392
curated	1.0.0	Bacteria	phylum	Atribacterota	391
curated	1.0.0	Bacteria	phylum	Sva0485	387
curated	1.0.0	Bacteria	phylum	Methylomirabilota	370
curated	1.0.0	Bacteria	phylum	Balneolota	350
curated	1.0.0	Bacteria	phylum	Nitrospinota	311
curated	1.0.0	Bacteria	phylum	Cloacimonadota	300
curated	1.0.0	Bacteria	phylum	Calditrichota	296
curated	1.0.0	Bacteria	phylum	Thermotogota	292
curated	1.0.0	Bacteria	phylum	Ignavibacteriota	282
curated	1.0.0	Bacteria	phylum	Hydrogenedentes	263
curated	1.0.0	Bacteria	phylum	Aquificota	255
curated	1.0.0	Bacteria	phylum	Halanaerobiaeota	251
curated	1.0.0	Bacteria	phylum	Modulibacteria	248
curated	1.0.0	Bacteria	phylum	Candidatus Kapabacteria	246
curated	1.0.0	Bacteria	phylum	Zixibacteria	207
curated	1.0.0	Bacteria	phylum	Dadabacteria	172
curated	1.0.0	Bacteria	phylum	Candidatus Kryptonia	170
curated	1.0.0	Bacteria	phylum	Acetothermia	169
curated	1.0.0	Bacteria	phylum	Chlorobiota	163
curated	1.0.0	Bacteria	phylum	Abditibacteriota	162
curated	1.0.0	Bacteria	phylum	MBNT15	160
curated	1.0.0	Bacteria	phylum	Entotheonellaeota	152
curated	1.0.0	Bacteria	phylum	RCP2-54	137
curated	1.0.0	Bacteria	phylum	GN01	136
curated	1.0.0	Bacteria	phylum	Deferribacterota	121
curated	1.0.0	Bacteria	phylum	Caldisericota	99
curated	1.0.0	Bacteria	phylum	Coprothermobacterota	99
curated	1.0.0	Bacteria	phylum	PAUC34f	93
curated	1.0.0	Bacteria	phylum	WS1	93
curated	1.0.0	Bacteria	phylum	Margulisbacteria	87
curated	1.0.0	Bacteria	phylum	DTB120	78
curated	1.0.0	Bacteria	phylum	TA06	72
curated	1.0.0	Bacteria	phylum	Aerophobota	70
curated	1.0.0	Bacteria	phylum	Candidatus Eremiobacterota	61
curated	1.0.0	Bacteria	phylum	WS2	59
curated	1.0.0	Bacteria	phylum	Fermentibacterota	54
curated	1.0.0	Bacteria	phylum	Poribacteria	52
curated	1.0.0	Bacteria	phylum	NKB15	51
curated	1.0.0	Bacteria	phylum	LCP-89	48
curated	1.0.0	Bacteria	phylum	GAL15	46
curated	1.0.0	Bacteria	phylum	Schekmanbacteria	42
curated	1.0.0	Bacteria	phylum	BHI80-139	41
curated	1.0.0	Bacteria	phylum	Hydrothermae	39
curated	1.0.0	Bacteria	phylum	FCPU426	38
curated	1.0.0	Bacteria	phylum	WOR-1	38
curated	1.0.0	Bacteria	phylum	Rs-K70 termite group	31
curated	1.0.0	Bacteria	phylum	MAT-CR-M4-B07	28
curated	1.0.0	Bacteria	phylum	Deferrisomatota	26
curated	1.0.0	Bacteria	phylum	AncK6	23
curated	1.0.0	Bacteria	phylum	CK-2C2-2	22
curated	1.0.0	Bacteria	phylum	FW113	19
curated	1.0.0	Bacteria	phylum	WS4	17
curated	1.0.0	Bacteria	phylum	Chrysiogenota	9
curated	1.0.0	Bacteria	phylum	Dictyoglomerota	9
curated	1.0.0	Bacteria	phylum	Thermodesulfobiota	8
curated	1.0.0	Bacteria	phylum	10bav-F6	6
curated	1.0.0	Bacteria	phylum	Edwardsbacteria	4
curated	1.0.0	Bacteria	phylum	Fervidibacteria	4
curated	1.0.0	Bacteria	phylum	Firestonebacteria	4
curated	1.0.0	Bacteria	phylum	TX1A-33	4
curated	1.0.0	Bacteria	phylum	Apal-E12	3
curated	1.0.0	Bacteria	phylum	Calescamantes	3
curated	1.0.0	Bacteria	phylum	Thermosulfidibacterota	3
curated	1.0.0	Bacteria	phylum	Desantisbacteria	2
curated	1.0.0	Bacteria	phylum	Candidatus Lindowbacteria	1
curated	1.0.0	Archaea	phylum	Thermoproteota	7610
curated	1.0.0	Archaea	phylum	Halobacteriota	5345
curated	1.0.0	Archaea	phylum	Thermoplasmatota	2895
curated	1.0.0	Archaea	phylum	Methanobacteriota	2001
curated	1.0.0	Archaea	phylum	Asgardarchaeota	670
curated	1.0.0	Archaea	phylum	Nanoarchaeota	550
curated	1.0.0	Archaea	phylum	Aenigmarchaeota	319
curated	1.0.0	Archaea	phylum	Hadarchaeota	300
curated	1.0.0	Archaea	phylum	Hydrothermarchaeota	212
curated	1.0.0	Archaea	phylum	Micrarchaeota	88
curated	1.0.0	Archaea	phylum	Korarchaeota	62
curated	1.0.0	Archaea	phylum	Iainarchaeota	46
curated	1.0.0	Archaea	phylum	Altiarchaeota	41
curated	1.0.0	Archaea	phylum	Nanohaloarchaeota	34
curated	1.0.0	Eukaryota	supergroup	Obazoa	90697
curated	1.0.0	Eukaryota	supergroup	TSAR	69716
curated	1.0.0	Eukaryota	supergroup	Archaeplastida	22653
curated	1.0.0	Eukaryota	supergroup	Excavata	7850
curated	1.0.0	Eukaryota	supergroup	Amoebozoa	4325
curated	1.0.0	Eukaryota	supergroup	Cryptista	1580
curated	1.0.0	Eukaryota	supergroup	Haptista	1552
curated	1.0.0	Eukaryota	supergroup	Eukaryota_X	203
curated	1.0.0	Eukaryota	supergroup	Provora	14
curated	1.0.0	Eukaryota	supergroup	CRuMs	6
img	1.0.0	Bacteria	phylum	Pseudomonadota	112577
img	1.0.0	Bacteria	phylum	Bacillota	105912
img	1.0.0	Bacteria	phylum	Bacteroidota	42902
img	1.0.0	Bacteria	phylum	Actinomycetota	36964
img	1.0.0	Bacteria	phylum	Acidobacteriota	11556
img	1.0.0	Bacteria	phylum	Chloroflexota	9052
img	1.0.0	Bacteria	phylum	Planctomycetota	8665
img	1.0.0	Bacteria	phylum	Cyanobacteriota	8135
img	1.0.0	Bacteria	phylum	Thermodesulfobacteriota	7860
img	1.0.0	Bacteria	phylum	Verrucomicrobiota	6128
img	1.0.0	Bacteria	phylum	Patescibacteria	4539
img	1.0.0	Bacteria	phylum	Campylobacterota	4034
img	1.0.0	Bacteria	phylum	Spirochaetota	4020
img	1.0.0	Bacteria	phylum	Myxococcota	3018
img	1.0.0	Bacteria	phylum	Gemmatimonadota	2119
img	1.0.0	Bacteria	phylum	Rhodothermota	1751
img	1.0.0	Bacteria	phylum	Fusobacteriota	1749
img	1.0.0	Bacteria	phylum	Bdellovibrionota	1664
img	1.0.0	Bacteria	phylum	Nitrospirota	1248
img	1.0.0	Bacteria	phylum	Synergistota	933
img	1.0.0	Bacteria	phylum	Deinococcota	842
img	1.0.0	Bacteria	phylum	Armatimonadota	776
img	1.0.0	Bacteria	phylum	Fibrobacterota	743
img	1.0.0	Bacteria	phylum	Marinimicrobia (SAR406 clade)	664
img	1.0.0	Bacteria	phylum	SAR324 clade(Marine group B)	629
img	1.0.0	Bacteria	phylum	Dependentiae	583
img	1.0.0	Bacteria	phylum	Latescibacterota	505
img	1.0.0	Bacteria	phylum	NB1-j	484
img	1.0.0	Bacteria	phylum	Elusimicrobiota	418
img	1.0.0	Bacteria	phylum	Chlamydiota	411
img	1.0.0	Bacteria	phylum	Sumerlaeota	392
img	1.0.0	Bacteria	phylum	Atribacterota	391
img	1.0.0	Bacteria	phylum	Sva0485	387
img	1.0.0	Bacteria	phylum	Methylomirabilota	370
img	1.0.0	Bacteria	phylum	Balneolota	350
img	1.0.0	Bacteria	phylum	Nitrospinota	311
img	1.0.0	Bacteria	phylum	Cloacimonadota	300
img	1.0.0	Bacteria	phylum	Calditrichota	296
img	1.0.0	Bacteria	phylum	Thermotogota	292
img	1.0.0	Bacteria	phylum	Ignavibacteriota	282
img	1.0.0	Bacteria	phylum	Hydrogenedentes	263
img	1.0.0	Bacteria	phylum	Aquificota	255
img	1.0.0	Bacteria	phylum	Halanaerobiaeota	251
img	1.0.0	Bacteria	phylum	Modulibacteria	248
img	1.0.0	Bacteria	phylum	Candidatus Kapabacteria	246
img	1.0.0	Bacteria	phylum	Zixibacteria	207
img	1.0.0	Bacteria	phylum	Dadabacteria	172
img	1.0.0	Bacteria	phylum	Candidatus Kryptonia	170
img	1.0.0	Bacteria	phylum	Acetothermia	169
img	1.0.0	Bacteria	phylum	Chlorobiota	163
img	1.0.0	Bacteria	phylum	Abditibacteriota	162
img	1.0.0	Bacteria	phylum	MBNT15	160
img	1.0.0	Bacteria	phylum	Entotheonellaeota	152
img	1.0.0	Bacteria	phylum	RCP2-54	137
img	1.0.0	Bacteria	phylum	GN01	136
img	1.0.0	Bacteria	phylum	Deferribacterota	121
img	1.0.0	Bacteria	phylum	Caldisericota	99
img	1.0.0	Bacteria	phylum	Coprothermobacterota	99
img	1.0.0	Bacteria	phylum	PAUC34f	93
img	1.0.0	Bacteria	phylum	WS1	93
img	1.0.0	Bacteria	phylum	Margulisbacteria	87
img	1.0.0	Bacteria	phylum	DTB120	78
img	1.0.0	Bacteria	phylum	TA06	72
img	1.0.0	Bacteria	phylum	Aerophobota	70
img	1.0.0	Bacteria	phylum	Candidatus Eremiobacterota	61
img	1.0.0	Bacteria	phylum	WS2	59
img	1.0.0	Bacteria	phylum	Fermentibacterota	54
img	1.0.0	Bacteria	phylum	Poribacteria	52
img	1.0.0	Bacteria	phylum	NKB15	51
img	1.0.0	Bacteria	phylum	LCP-89	48
img	1.0.0	Bacteria	phylum	GAL15	46
img	1.0.0	Bacteria	phylum	Schekmanbacteria	42
img	1.0.0	Bacteria	phylum	BHI80-139	41
img	1.0.0	Bacteria	phylum	Hydrothermae	39
img	1.0.0	Bacteria	phylum	FCPU426	38
img	1.0.0	Bacteria	phylum	WOR-1	38
img	1.0.0	Bacteria	phylum	Rs-K70 termite group	31
img	1.0.0	Bacteria	phylum	MAT-CR-M4-B07	28
img	1.0.0	Bacteria	phylum	Deferrisomatota	26
img	1.0.0	Bacteria	phylum	AncK6	23
img	1.0.0	Bacteria	phylum	CK-2C2-2	22
img	1.0.0	Bacteria	phylum	FW113	19
img	1.0.0	Bacteria	phylum	WS4	17
img	1.0.0	Bacteria	phylum	Chrysiogenota	9
img	1.0.0	Bacteria	phylum	Dictyoglomerota	9
img	1.0.0	Bacteria	phylum	Thermodesulfobiota	8
img	1.0.0	Bacteria	phylum	10bav-F6	6
img	1.0.0	Bacteria	phylum	Edwardsbacteria	4
img	1.0.0	Bacteria	phylum	Fervidibacteria	4
img	1.0.0	Bacteria	phylum	Firestonebacteria	4
img	1.0.0	Bacteria	phylum	TX1A-33	4
img	1.0.0	Bacteria	phylum	Apal-E12	3
img	1.0.0	Bacteria	phylum	Calescamantes	3
img	1.0.0	Bacteria	phylum	Thermosulfidibacterota	3
img	1.0.0	Bacteria	phylum	Desantisbacteria	2
img	1.0.0	Bacteria	phylum	Candidatus Lindowbacteria	1
img	1.0.0	Archaea	phylum	Thermoproteota	7610
img	1.0.0	Archaea	phylum	Halobacteriota	5345
img	1.0.0	Archaea	phylum	Thermoplasmatota	2895
img	1.0.0	Archaea	phylum	Methanobacteriota	2001
img	1.0.0	Archaea	phylum	Asgardarchaeota	670
img	1.0.0	Archaea	phylum	Nanoarchaeota	550
img	1.0.0	Archaea	phylum	Aenigmarchaeota	319
img	1.0.0	Archaea	phylum	Hadarchaeota	300
img	1.0.0	Archaea	phylum	Hydrothermarchaeota	212
img	1.0.0	Archaea	phylum	Micrarchaeota	88
img	1.0.0	Archaea	phylum	Korarchaeota	62
img	1.0.0	Archaea	phylum	Iainarchaeota	46
img	1.0.0	Archaea	phylum	Altiarchaeota	41
img	1.0.0	Archaea	phylum	Nanohaloarchaeota	34
img	1.0.0	Eukaryota	supergroup	Obazoa	90697
img	1.0.0	Eukaryota	supergroup	TSAR	69716
img	1.0.0	Eukaryota	supergroup	Archaeplastida	22653
img	1.0.0	Eukaryota	supergroup	Excavata	7850
img	1.0.0	Eukaryota	supergroup	Amoebozoa	4325
img	1.0.0	Eukaryota	supergroup	Cryptista	1580
img	1.0.0	Eukaryota	supergroup	Haptista	1552
img	1.0.0	Eukaryota	supergroup	Eukaryota_X	203
img	1.0.0	Eukaryota	supergroup	Provora	14
img	1.0.0	Eukaryota	supergroup	CRuMs	6
